,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
34,1641670055,651016351.56805680,855874212.485486,2022-01-09,39515180726.35719733,0.9976930894854255,853899787.26555,649514515.1014645,-204385272.1640855,-0.2043852721640855
17,1641581927,614884180.97602700,843028629.8269122,2022-01-08,38922108154.61230417,1.0020948041790443,844794609.7237276,616172242.9279639,-228622366.79576373,-0.22862236679576373
0,1641493800,640064956.56295750,836952341.8233565,2022-01-07,38641569712.04300462,1.0011714415556676,837932782.5766817,640814755.251402,-197118027.3252797,-0.19711802732527972
