,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
34,1641670055,54492.617276971801644903,1455422.6718462354,2022-01-09,72559513.684144548750,3101.0409016141402,4513325234.531711,168983835.01189497,-4344341399.519815,-4.3443413995198155
17,1641581927,55084.624296351427744466,1472213.009252877,2022-01-08,73396589.222670526600,3201.79457434796,4713723625.310345,176369651.20205382,-4537353974.108291,-4.5373539741082904
0,1641493800,50674.751673906508593830,1456030.4315765824,2022-01-07,72589813.301790905714,3416.8260086159135,4975002647.94712,173146809.49955657,-4801855838.447563,-4.801855838447564
