,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
34,1639596455,608529763.91182633,897024106.6561738,2021-12-16,41493892287.97891856,1.0002532736753147,897251299.2485125,608683888.4816707,-288567410.76684177,-0.2885674107668418
17,1639508327,583716893.82774200,900476619.5273379,2021-12-15,41653596131.09297555,1.0021288172876905,902393569.7221489,584959520.4424396,-317434049.27970934,-0.31743404927970936
0,1639420200,619060641.80741620,909799289.9559839,2021-12-14,42084837476.48396556,0.9974935997320863,907518968.7718905,617509028.0489353,-290009940.7229552,-0.2900099407229552
