,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
32,1639596455,7065256.370391540486102454,115079525.28570203,2021-12-16,5571246515.19610581,1.1290359260265102,129928918.39763379,7976928.2687597135,-121951990.12887408,-0.12195199012887407
15,1639508327,7037144.328329097262954212,115083905.44118845,2021-12-15,5571458567.91294887,1.0606472154152604,122063423.84530967,7463927.53631755,-114599496.30899212,-0.11459949630899212
0,1639430567,7036462.634969456564693919,115088153.52902785,2021-12-14,5571664226.95188385,1.0286983362979534,118390992.06291439,7238397.406015794,-111152594.65689859,-0.11115259465689858
